Interval,Action,Start Time,End Time,Total Time (s),Distance (m),Max Heart Rate (bpm),Pace
1,Warm-up,2024-02-13T15:02:54Z,2024-02-13T15:05:53Z,179.0,341.51,85,1.754386
2,Training,2024-02-13T15:05:53Z,2024-02-13T15:08:09Z,136.0,402.4,149,2.9411764
3,Break,2024-02-13T15:08:09Z,2024-02-13T15:12:02Z,233.0,402.1,111,2.173913
4,Training,2024-02-13T15:12:02Z,2024-02-13T15:14:08Z,126.0,401.41,164,3.2258065
5,Break,2024-02-13T15:14:08Z,2024-02-13T15:18:05Z,237.0,401.64,110,2.4390244
6,Training,2024-02-13T15:18:05Z,2024-02-13T15:19:55Z,110.0,401.35,162,3.846154
7,Break,2024-02-13T15:19:55Z,2024-02-13T15:23:55Z,240.0,402.2,114,2.7027028
8,Training,2024-02-13T15:23:55Z,2024-02-13T15:26:04Z,129.0,400.65,170,2.5641026
9,Break,2024-02-13T15:26:04Z,2024-02-13T15:30:08Z,244.0,400.47,113,2.9411764
10,Training,2024-02-13T15:30:08Z,2024-02-13T15:32:03Z,115.0,400.86,161,2.5641026
11,Break,2024-02-13T15:32:03Z,2024-02-13T15:36:08Z,245.0,402.28,121,2.857143
12,Training,2024-02-13T15:36:08Z,2024-02-13T15:38:24Z,136.0,400.49,173,1.6666666
13,Break,2024-02-13T15:38:24Z,2024-02-13T15:42:33Z,249.0,401.82,120,2.9411764
14,Training,2024-02-13T15:42:33Z,2024-02-13T15:44:31Z,118.0,400.07,165,2.631579
15,Break,2024-02-13T15:44:31Z,2024-02-13T15:48:36Z,245.0,400.68,121,2.9411764
16,Training,2024-02-13T15:48:36Z,2024-02-13T15:50:56Z,140.0,400.99,169,1.4084507
17,Break,2024-02-13T15:50:56Z,2024-02-13T15:55:06Z,250.0,402.1,118,3.030303
18,Training,2024-02-13T15:55:06Z,2024-02-13T15:57:13Z,127.0,401.75,159,1.8181818
19,Break,2024-02-13T15:57:13Z,2024-02-13T16:01:19Z,246.0,400.31,117,3.3333333
20,Training,2024-02-13T16:01:19Z,2024-02-13T16:03:31Z,132.0,400.74,164,1.4705882
